Timeslot,Period,,# of Div,C,J,M,B,S,Leader,LC
T22,12 Baseball (Messer Field),,3,1,1,1,,,2,
T22,16 Soccer (Clark 1&2),,3,,,1,1,1,2,
T22,Archery J,,1,,1,,,,2,
T22,Basketball C (Jr. Courts),,1,1,,,,,1,
T22,Crosstraining S,,1,,,,,1,1,
T22,FF/S CJMBS,,5,1,1,1,1,1,2,1
T22,Minnow JMBS,,4,,1,1,1,1,2,2
T22,Nature BS,,2,,,,1,1,1,1
T22,Riflery B,,1,,,,1,,2,
T22,Ropes CJM,,3,1,1,1,,,1,1
T22,Sailing BS,,2,,,,1,1,2,3
T22,Basketball MBS (Pavilion),,3,,,1,1,1,1,1
T22,Ultimate CJ (Clark 3),,2,1,1,,,,1,1
T22,Crafts CJM,,3,1,1,1,,,2,
T22,Tennis MBS (Sr. Courts),,3,,,1,1,1,1,1
T22,Tower S,,1,,,,,1,2,
T22,Volleyball CJM (Cadet Beach) ,,3,1,1,1,,,1,1
T22,Waterskiing B,,1,,,,1,,2,
T22,Woodworking CJM,,3,1,1,1,,,1,1
T23,16 Archery,,3,,,1,1,1,2,
T23,16 Tennis (Sr. Court),,3,,,1,1,1,2,
T23,Arts MBS,,3,,,1,1,1,1,1
T23,Baseball BS (Clark 4),,2,,,,1,1,1,1
T23,Basketball JM (Pavilion),,2,,1,1,,,1,1
T23,Bizouball CJ (Clark 1&2),,2,1,1,,,,2,1
T23,Nature CJ,,2,1,1,,,,1,1
T23,Crosstraining B,,1,,,,1,,1,
T23,Fish C,,1,1,,,,,1,1
T23,Kickball MBS (Messer Field),,2,,,,1,1,2,1
T23,Lacrosse MBS (Clark 3),,3,,,1,1,1,1,1
T23,Minnow C,,1,1,,,,,2,1
T23,Paddle Sports MBS,,3,,,1,1,1,2,
T23,Pollywog/Guppy CJMBS,,5,1,1,1,1,1,2,
T23,Riflery J,,1,,1,,,,2,
T23,Sailing CJM,,3,1,1,1,,,3,2
T23,Studio Art CJM ,,3,1,1,1,,,1,
T23,Tennis CJM (Besserer Courts),,3,1,1,1,,,1,1
T23,Tower M,,1,,,1,,,2,
T23,Waterskiing C,,1,1,,,,,2,1
H21,12 & 16 Swim Team,,5,1,1,1,1,1,2,
H21,12 Riflery,,3,1,1,1,,,2,
H21,16 Basketball (Pavilion),,2,,,,1,1,2,
H21,Archery B,,1,,,,1,,2,
H21,Arts CJ,,2,1,1,,,,1,2
H21,FF/S CJMBS,,5,1,1,1,1,1,1,2
H21,Kickball C (Cadet Field),,1,1,,,,,1,1
H21,Paddle Sports CJM,,3,1,1,1,,,2,1
H21,Ropes MBS,,3,,,1,1,1,2,1
H21,Sailing BS,,2,,,,1,1,2,3
H21,Softball MBS (Messer Field) ,,3,,,1,1,1,2,1
H21,Street Hockey BS (Senior Courts),,2,,,,1,1,1,1
H21,Street Hockey CJM (Jr. Courts),,3,1,1,1,,,1,1
H21,Tennis MBS (Besserer Courts),,3,,,1,1,1,2,1
H21,Tower J,,1,,1,,,,2,
H21,Volleyball CJ (Cadet Beach),,2,1,1,,,,1,1
H21,Waterskiing S,,1,,,,,1,2,
H21,Woodworking CJM,,3,1,1,1,,,1,1
H21,Crosstraining,,,,,,,1,1,
H22,12 Basketball (Pavilion),,3,1,1,1,,,2,
H22,16 Volleyball (Cadet Beach),,3,,,1,1,1,2,
H22,Archery S,,1,,,,,1,2,
H22,Ultimate C (Clark 4),,1,1,,,,,1,1
H22,Pickleball BS (Sr. Courts),,2,,,,1,1,1,
H22,Crafts BS,,2,,,,1,1,1,1
H22,Fish JMBS,,4,,1,1,1,1,2,2
H22,Football MBS (Messer),,3,,,1,1,1,1,1
H22,Lacrosse CJM (Clark 3),,3,1,1,1,,,1,
H22,Minnow JMBS,,4,,1,1,1,1,2,2
H22,Nature CJM ,,3,1,1,1,,,1,2
H22,Paddle Sports BS,,2,,,,1,1,2,1
H22,Riflery M,,1,,,1,,,2,
H22,Ropes CJ,,2,1,1,,,,1,1
H22,Sailing CJ,,2,1,1,,,,2,2
H22,Soccer MBS (Clark 1&2),,3,,,1,1,1,1,2
H22,Studio Art CJ,,2,1,1,,,,1,
H22,Tennis CJ (Besserer Courts),,2,1,1,,,,1,1
H22,Tower B,,1,,,,1,,2,
H22,Waterskiing M,,1,,,1,,,2,
H23,12 Archery,,3,1,1,1,,,2,
H23,12 Tennis (Sr. Court),,3,1,1,1,,,2,
H23,16 Baseball (Clark 4),,3,,,1,1,1,2,
H23,Arts MBS,,3,,,1,1,1,1,1
H23,Baseball CJM (Messer),,3,1,1,1,,,1,1
H23,Basketball JM (Pavilion),,2,,1,1,,,1,1
H23,Crafts CJ,,2,1,1,,,,1,2
H23,Fish C,,1,1,,,,,1,1
H23,Lacrosse BS (Clark 3),,2,,,,1,1,1,1
H23,Minnow C,,1,1,,,,,2,1
H23,Volleyball MBS (Sr. Court),,3,,,1,1,1,1,1
H23,Pollywog/Guppy CJMBS,,5,1,1,1,1,1,2,
H23,Riflery C,,1,1,,,,,2,
H23,Ropes S,,1,,,,,1,1,1
H23,Sailing MBS ,,3,,,1,1,1,3,2
H23,Nature BS,,2,,,,1,1,1,1
H23,Soccer CJ (Clark 1&2),,2,1,1,,,,1,1
H23,Tower M,,1,,,1,,,2,
H23,Waterskiing J,,1,,1,,,,2,1
H23,Woodworking BS,,2,,,,1,1,1,1
F21,Archery J,,1,,1,,,,2,
F21,Basketball CJ (Jr. Courts),,2,1,1,,,,1,1
F21,Clark Field Special MBS (Clark 1 & 2),,3,,,1,1,1,2,1
F21,Crafts CJM,,3,1,1,1,,,1,1
F21,FF/S CJMBS,,5,1,1,1,1,1,2,
F21,Fish CJM,,3,1,1,1,,,1,1
F21,Football MBS (Messer),,3,,,1,1,1,1,1
F21,Ultimate CJ (Clark 3),,2,1,1,,,,1,1
F21,Paddle Sports MBS,,3,,,1,1,1,2,1
F21,Pickleball MBS (Sr. Court),,3,,,1,1,1,1,1
